"cca2","name","area","pop2019","GrowthRate"
"US","United States",9372610,329093.11,1.0071193351656453
"JP","Japan",377930,126854.745,0.9974007458658833
"TR","Turkey",783562,82961.805,1.0127560292189381
"DE","Germany",357114,82438.63900000001,1.0017641985802106
"GB","United Kingdom",242900,66959.016,1.0057907722567825
"FR","France",551695,65480.71,1.0037931410798027
"IT","Italy",301336,59216.525,0.9987444293582046
"KR","South Korea",100210,51339.238,1.0034164942894415
"ES","Spain",505992,46441.049000000006,1.0009396421165542
"CA","Canada",9984670,37279.811,1.008823079326288
"AU","Australia",7692024,25088.636000000002,1.012771913666128
"NL","Netherlands",41850,17132.908,1.002835852162483
"BE","Belgium",30528,11562.784,1.0055889806330711
"GR","Greece",131990,11124.603000000001,0.9984241836031629
"CZ","Czech Republic",78865,10630.589,1.0005024822945343
"PT","Portugal",92090,10254.666,0.9964503639810183
"SE","Sweden",450295,10053.135,1.0070547984520033
"AT","Austria",83871,8766.201,1.0016432010713199
"CH","Switzerland",41284,8608.259,1.007516941060862
"IL","Israel",20770,8583.916,1.015506620791755
"SG","Singapore",710,5868.104,1.0131568201873618
"DK","Denmark",43094,5775.224,1.0036264701036919
"FI","Finland",338424,5561.389,1.0034049512162073
"NO","Norway",323802,5400.916,1.0088828274861987
"IE","Ireland",70273,4847.139,1.009032738603274
"NZ","New Zealand",270467,4792.409000000001,1.0090136049408815
"SI","Slovenia",20273,2081.9,1.000307506030001
"EE","Estonia",45227,1303.798,0.9977119471559274
"CY","Cyprus",9251,1198.427,1.007856461060395
"LU","Luxembourg",2586,596.992,1.0113006313514172
"IS","Iceland",103000,340.566,1.0082479720528155
