Title: States with Firearm Laws Designed to Protect Children | The Henry J. Kaiser Family Foundation,,,,
Timeframe: 2014,,,,
Location,Child Access Prevention Firearm Law,Safe Storage or Gun Lock Requirment,Assault Weapons Ban,Footnotes
United States,28 Yes,11 Yes,8 Yes,
Alabama,No,No,No,
Alaska,No,No,No,
Arizona,No,No,No,
Arkansas,No,No,No,
California,Yes,Yes,Yes,
Colorado,Yes,No,No,
Connecticut,Yes,Yes,Yes,
Delaware,Yes,No,No,
District of Columbia,Yes,No,Yes,
Florida,Yes,No,No,
Georgia,Yes,No,No,
Hawaii,Yes,No,Yes,1
Idaho,No,No,No,
Illinois,Yes,Yes,No,
Indiana,Yes,No,No,
Iowa,Yes,No,No,
Kansas,No,No,No,
Kentucky,Yes,No,No,
Louisiana,No,No,No,
Maine,No,No,No,
Maryland,Yes,Yes,Yes,
Massachusetts,Yes,Yes,Yes,
Michigan,No,Yes,No,
Minnesota,Yes,No,No,2
Mississippi,Yes,No,No,
Missouri,Yes,No,No,
Montana,No,No,No,
Nebraska,No,No,No,
Nevada,Yes,No,No,
New Hampshire,Yes,No,No,
New Jersey,Yes,Yes,Yes,
New Mexico,No,No,No,
New York,No,Yes,Yes,
North Carolina,Yes,No,No,
North Dakota,No,No,No,
Ohio,No,Yes,No,
Oklahoma,Yes,No,No,
Oregon,No,No,No,
Pennsylvania,No,Yes,No,
Rhode Island,Yes,Yes,No,
South Carolina,No,No,No,
South Dakota,No,No,No,
Tennessee,Yes,No,No,
Texas,Yes,No,No,
Utah,Yes,No,No,
Vermont,No,No,No,
Virginia,Yes,No,No,2
Washington,No,No,No,
West Virginia,No,No,No,
Wisconsin,Yes,No,No,
Wyoming,No,No,No,
